,Year,County,Property_type,mean_inventory,Median_sales_price,county_ascii,lat,lng
0,2012,Alameda,All Residential,2092.5,385533.33,Alameda,37.6469,-121.8889
1,2012,Alameda,Condo/Co-op,333.91,247647.73,Alameda,37.6469,-121.8889
2,2012,Alameda,Multi-Family (2-4 Unit),176.18,347172.73,Alameda,37.6469,-121.8889
3,2012,Alameda,Single Family Residential,1632,479090.91,Alameda,37.6469,-121.8889
4,2012,Alameda,Townhouse,140.64,356954.55,Alameda,37.6469,-121.8889
5,2013,Alameda,All Residential,1772.64,550090.91,Alameda,37.6469,-121.8889
6,2013,Alameda,Condo/Co-op,233.36,369113.64,Alameda,37.6469,-121.8889
7,2013,Alameda,Multi-Family (2-4 Unit),231.55,497181.82,Alameda,37.6469,-121.8889
8,2013,Alameda,Single Family Residential,1204.18,619313.64,Alameda,37.6469,-121.8889
9,2013,Alameda,Townhouse,103.55,463966.36,Alameda,37.6469,-121.8889
10,2014,Alameda,All Residential,1929.82,628795.45,Alameda,37.6469,-121.8889
11,2014,Alameda,Condo/Co-op,264.91,431386.36,Alameda,37.6469,-121.8889
12,2014,Alameda,Multi-Family (2-4 Unit),250.64,609772.73,Alameda,37.6469,-121.8889
13,2014,Alameda,Single Family Residential,1290,702468.18,Alameda,37.6469,-121.8889
14,2014,Alameda,Townhouse,124.27,541890.91,Alameda,37.6469,-121.8889
15,2015,Alameda,All Residential,1652.09,695500,Alameda,37.6469,-121.8889
16,2015,Alameda,Condo/Co-op,191.64,481977.27,Alameda,37.6469,-121.8889
17,2015,Alameda,Multi-Family (2-4 Unit),206.18,664804.55,Alameda,37.6469,-121.8889
18,2015,Alameda,Single Family Residential,1161.55,777181.82,Alameda,37.6469,-121.8889
19,2015,Alameda,Townhouse,92.73,592432.73,Alameda,37.6469,-121.8889
20,2016,Alameda,All Residential,1647.18,752929.55,Alameda,37.6469,-121.8889
21,2016,Alameda,Condo/Co-op,207.36,542727.27,Alameda,37.6469,-121.8889
22,2016,Alameda,Multi-Family (2-4 Unit),177,767409.09,Alameda,37.6469,-121.8889
23,2016,Alameda,Single Family Residential,1160.18,831761.55,Alameda,37.6469,-121.8889
24,2016,Alameda,Townhouse,102.64,660681.82,Alameda,37.6469,-121.8889
25,2017,Alameda,All Residential,1352.55,828759.09,Alameda,37.6469,-121.8889
26,2017,Alameda,Condo/Co-op,181.91,593545.45,Alameda,37.6469,-121.8889
27,2017,Alameda,Multi-Family (2-4 Unit),155.73,871140.91,Alameda,37.6469,-121.8889
28,2017,Alameda,Single Family Residential,941.64,918618.18,Alameda,37.6469,-121.8889
29,2017,Alameda,Townhouse,73.27,712554.09,Alameda,37.6469,-121.8889
30,2018,Alameda,All Residential,1593.27,904454.55,Alameda,37.6469,-121.8889
31,2018,Alameda,Condo/Co-op,226.73,666522.73,Alameda,37.6469,-121.8889
32,2018,Alameda,Multi-Family (2-4 Unit),184.45,939873.64,Alameda,37.6469,-121.8889
33,2018,Alameda,Single Family Residential,1077.36,1000053,Alameda,37.6469,-121.8889
34,2018,Alameda,Townhouse,104.73,796795.45,Alameda,37.6469,-121.8889
35,2019,Alameda,All Residential,1811.09,903340.91,Alameda,37.6469,-121.8889
36,2019,Alameda,Condo/Co-op,305.36,634818.18,Alameda,37.6469,-121.8889
37,2019,Alameda,Multi-Family (2-4 Unit),153.64,1005722.73,Alameda,37.6469,-121.8889
38,2019,Alameda,Single Family Residential,1172.82,988590.91,Alameda,37.6469,-121.8889
39,2019,Alameda,Townhouse,179.27,778023.41,Alameda,37.6469,-121.8889
