Index,Year,County,Property_type,mean_inventory,Median_sales_price,Listing_price,Amount_sold_over
0,2012,Alameda County,All Residential,2092.5,385533.33,413908.33,-13375.0
1,2012,Alameda County,Condo/Co-op,333.91,247647.73,451536.36,237602.27
2,2012,Alameda County,Multi-Family (2-4 Unit),176.18,347172.73,451536.36,595229.55
3,2012,Alameda County,Single Family Residential,1632.0,479090.91,451536.36,1070229.55
4,2012,Alameda County,Townhouse,140.64,356954.55,422000.0,1429447.73
5,2013,Alameda County,All Residential,1772.64,550090.91,569520.45,7388.64
6,2013,Alameda County,Condo/Co-op,233.36,369113.64,569520.45,381956.82
7,2013,Alameda County,Multi-Family (2-4 Unit),231.55,497181.82,569520.45,890229.55
8,2013,Alameda County,Single Family Residential,1204.18,619313.64,569520.45,1497906.82
9,2013,Alameda County,Townhouse,103.55,463966.36,532020.45,1967645.91
10,2014,Alameda County,All Residential,1929.82,628795.45,655363.64,3886.36
11,2014,Alameda County,Condo/Co-op,264.91,431386.36,655363.64,449363.64
12,2014,Alameda County,Multi-Family (2-4 Unit),250.64,609772.73,655363.64,1064500.0
13,2014,Alameda County,Single Family Residential,1290.0,702468.18,655363.64,1753422.73
14,2014,Alameda County,Townhouse,124.27,541890.91,610000.0,2304313.64
15,2015,Alameda County,All Residential,1652.09,695500.0,730380.73,119.27
16,2015,Alameda County,Condo/Co-op,191.64,481977.27,730380.73,493369.27
17,2015,Alameda County,Multi-Family (2-4 Unit),206.18,664804.55,730380.73,1168264.73
18,2015,Alameda County,Single Family Residential,1161.55,777181.82,730380.73,1929173.82
19,2015,Alameda County,Townhouse,92.73,592432.73,678108.0,2533788.36
20,2016,Alameda County,All Residential,1647.18,752929.55,797467.27,-3628.64
21,2016,Alameda County,Condo/Co-op,207.36,542727.27,797467.27,551825.91
22,2016,Alameda County,Multi-Family (2-4 Unit),177.0,767409.09,797467.27,1328325.91
23,2016,Alameda County,Single Family Residential,1160.18,831761.55,797467.27,2155996.55
24,2016,Alameda County,Townhouse,102.64,660681.82,739376.36,2816132.91
25,2017,Alameda County,All Residential,1352.55,828759.09,863522.73,9781.82
26,2017,Alameda County,Condo/Co-op,181.91,593545.45,863522.73,626281.82
27,2017,Alameda County,Multi-Family (2-4 Unit),155.73,871140.91,863522.73,1498104.55
28,2017,Alameda County,Single Family Residential,941.64,918618.18,863522.73,2397177.27
29,2017,Alameda County,Townhouse,73.27,712554.09,800886.36,3123731.36
