,Year,County,Property_type,mean_inventory,Median_sales_price
0,2012,Alameda County,All Residential,2092.5,385533.33
1,2012,Alameda County,Condo/Co-op,333.91,247647.73
2,2012,Alameda County,Multi-Family (2-4 Unit),176.18,347172.73
3,2012,Alameda County,Single Family Residential,1632.0,479090.91
4,2012,Alameda County,Townhouse,140.64,356954.55
5,2013,Alameda County,All Residential,1772.64,550090.91
6,2013,Alameda County,Condo/Co-op,233.36,369113.64
7,2013,Alameda County,Multi-Family (2-4 Unit),231.55,497181.82
8,2013,Alameda County,Single Family Residential,1204.18,619313.64
9,2013,Alameda County,Townhouse,103.55,463966.36
10,2014,Alameda County,All Residential,1929.82,628795.45
11,2014,Alameda County,Condo/Co-op,264.91,431386.36
12,2014,Alameda County,Multi-Family (2-4 Unit),250.64,609772.73
13,2014,Alameda County,Single Family Residential,1290.0,702468.18
14,2014,Alameda County,Townhouse,124.27,541890.91
15,2015,Alameda County,All Residential,1652.09,695500.0
16,2015,Alameda County,Condo/Co-op,191.64,481977.27
17,2015,Alameda County,Multi-Family (2-4 Unit),206.18,664804.55
18,2015,Alameda County,Single Family Residential,1161.55,777181.82
19,2015,Alameda County,Townhouse,92.73,592432.73
20,2016,Alameda County,All Residential,1647.18,752929.55
21,2016,Alameda County,Condo/Co-op,207.36,542727.27
22,2016,Alameda County,Multi-Family (2-4 Unit),177.0,767409.09
23,2016,Alameda County,Single Family Residential,1160.18,831761.55
24,2016,Alameda County,Townhouse,102.64,660681.82
25,2017,Alameda County,All Residential,1352.55,828759.09
26,2017,Alameda County,Condo/Co-op,181.91,593545.45
27,2017,Alameda County,Multi-Family (2-4 Unit),155.73,871140.91
28,2017,Alameda County,Single Family Residential,941.64,918618.18
29,2017,Alameda County,Townhouse,73.27,712554.09
30,2018,Alameda County,All Residential,1593.27,904454.55
31,2018,Alameda County,Condo/Co-op,226.73,666522.73
32,2018,Alameda County,Multi-Family (2-4 Unit),184.45,939873.64
33,2018,Alameda County,Single Family Residential,1077.36,1000053.0
34,2018,Alameda County,Townhouse,104.73,796795.45
35,2019,Alameda County,All Residential,1811.09,903340.91
36,2019,Alameda County,Condo/Co-op,305.36,634818.18
37,2019,Alameda County,Multi-Family (2-4 Unit),153.64,1005722.73
38,2019,Alameda County,Single Family Residential,1172.82,988590.91
39,2019,Alameda County,Townhouse,179.27,778023.41
40,2020,Alameda County,All Residential,1419.0,962045.45
41,2020,Alameda County,Condo/Co-op,353.73,670181.82
42,2020,Alameda County,Multi-Family (2-4 Unit),143.64,1070454.55
43,2020,Alameda County,Single Family Residential,818.45,1074568.18
44,2020,Alameda County,Townhouse,103.18,807772.73
45,2021,Alameda County,All Residential,1256.36,1132022.73
46,2021,Alameda County,Condo/Co-op,325.09,702318.18
47,2021,Alameda County,Multi-Family (2-4 Unit),165.64,1159250.0
48,2021,Alameda County,Single Family Residential,693.09,1331863.64
49,2021,Alameda County,Townhouse,72.55,928568.18
50,2022,Alameda County,All Residential,1599.0,2112500.0
51,2022,Alameda County,Condo/Co-op,443.0,1270000.0
52,2022,Alameda County,Multi-Family (2-4 Unit),232.0,2285000.0
53,2022,Alameda County,Single Family Residential,840.0,2538000.0
54,2022,Alameda County,Townhouse,84.0,1828750.0
55,2012,Alpine County,All Residential,9.75,314750.0
56,2012,Alpine County,Single Family Residential,9.75,314750.0
57,2013,Alpine County,All Residential,8.88,295437.5
58,2013,Alpine County,Single Family Residential,8.88,295437.5
59,2014,Alpine County,All Residential,10.14,501785.71
60,2014,Alpine County,Condo/Co-op,0.0,400000.0
61,2014,Alpine County,Single Family Residential,10.0,494285.71
62,2015,Alpine County,All Residential,21.0,482936.43
63,2015,Alpine County,Multi-Family (2-4 Unit),0.0,150000.0
64,2015,Alpine County,Single Family Residential,20.86,654365.0
65,2016,Alpine County,All Residential,11.38,437212.5
66,2016,Alpine County,Single Family Residential,11.38,437212.5
67,2017,Alpine County,All Residential,10.6,416160.0
68,2017,Alpine County,Single Family Residential,10.6,416160.0
69,2018,Alpine County,All Residential,11.0,509671.43
70,2018,Alpine County,Single Family Residential,9.86,509671.43
71,2019,Alpine County,All Residential,13.83,445750.0
72,2019,Alpine County,Condo/Co-op,1.0,307500.0
73,2019,Alpine County,Single Family Residential,12.0,445958.33
74,2020,Alpine County,All Residential,10.88,482368.75
75,2020,Alpine County,Multi-Family (2-4 Unit),0.0,260000.0
76,2020,Alpine County,Single Family Residential,5.86,514135.71
77,2021,Alpine County,All Residential,19.9,598500.0
78,2021,Alpine County,Condo/Co-op,12.83,361275.0
79,2021,Alpine County,Single Family Residential,9.0,655777.78
80,2022,Alpine County,All Residential,32.0,494000.0
81,2022,Alpine County,Condo/Co-op,20.0,274000.0
82,2022,Alpine County,Single Family Residential,5.0,1237500.0
83,2012,Amador County,All Residential,225.45,176127.27
84,2012,Amador County,Condo/Co-op,2.0,1092500.0
85,2012,Amador County,Single Family Residential,221.09,176472.73
86,2012,Amador County,Townhouse,2.0,173250.0
87,2013,Amador County,All Residential,110.0,215763.64
88,2013,Amador County,Multi-Family (2-4 Unit),1.67,308833.33
89,2013,Amador County,Single Family Residential,107.91,215835.64
90,2013,Amador County,Townhouse,1.0,233500.0
91,2014,Amador County,All Residential,133.27,234487.23
92,2014,Amador County,Condo/Co-op,0.75,149850.0
93,2014,Amador County,Multi-Family (2-4 Unit),0.6,221680.0
94,2014,Amador County,Single Family Residential,131.73,234528.14
95,2014,Amador County,Townhouse,0.0,240000.0
96,2015,Amador County,All Residential,128.09,266830.05
97,2015,Amador County,Condo/Co-op,2.75,157312.5
98,2015,Amador County,Multi-Family (2-4 Unit),1.33,325033.33
99,2015,Amador County,Single Family Residential,124.55,267675.5
100,2016,Amador County,All Residential,141.91,286536.36
101,2016,Amador County,Condo/Co-op,2.0,303575.0
102,2016,Amador County,Multi-Family (2-4 Unit),2.0,395923.79
103,2016,Amador County,Single Family Residential,139.0,287050.0
104,2016,Amador County,Townhouse,0.0,235000.0
105,2017,Amador County,All Residential,170.91,328231.82
106,2017,Amador County,Condo/Co-op,2.0,388750.0
107,2017,Amador County,Multi-Family (2-4 Unit),0.67,392666.67
108,2017,Amador County,Single Family Residential,168.73,327854.55
109,2018,Amador County,All Residential,241.82,352804.55
110,2018,Amador County,Condo/Co-op,4.5,310750.0
111,2018,Amador County,Multi-Family (2-4 Unit),3.5,510000.0
